,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
292,WPantaliao,793642380813631488,428,441,200,179,76697.88,11540018753.91,107424.48,200,0.16,0.145,0.135,0.165,0.145,0.15,0.1,28.57,15.67,3.96,3,1.00,http://pbs.twimg.com/profile_images/995823616284643330/y1ROG2pu_normal.jpg,https://pbs.twimg.com/profile_images/995823616284643330/y1ROG2pu_normal.jpg
293,RICARDOMANDELLA,527741102,317,2247,200,175,77.51,6326.89,79.54,200,0.0,0.0,0.0,0.0,0.325,0.08,0.595,28.57,1846.82,42.97,4,1.00,http://pbs.twimg.com/profile_images/378800000250212807/2113a9a422b57567fe873d3e59685966_normal.jpeg,https://pbs.twimg.com/profile_images/378800000250212807/2113a9a422b57567fe873d3e59685966_normal.jpeg
294,ManoLucas143,1836993404,74,92,200,184,31549.65,2043817722.25,45208.60,200,0.255,0.145,0.18,0.125,0.18,0.085,0.03,28.57,181.39,13.47,9,1.29,http://pbs.twimg.com/profile_images/696842998936702976/olXkJZjl_normal.jpg,https://pbs.twimg.com/profile_images/696842998936702976/olXkJZjl_normal.jpg
295,LayRangel,3884141441,65,69,200,175,18806.91,856743291.79,29270.18,200,0.155,0.055,0.16,0.205,0.195,0.11,0.12,28.57,93.39,9.66,0,0.00,http://pbs.twimg.com/profile_images/859129702228914177/HSj4q1h3_normal.jpg,https://pbs.twimg.com/profile_images/859129702228914177/HSj4q1h3_normal.jpg
296,TassilaCastro,2481308474,1650,793,200,168,470.68,461650.92,679.45,200,0.04,0.075,0.04,0.11,0.32,0.265,0.15,28.57,418.24,20.45,27,1.00,http://pbs.twimg.com/profile_images/1007463924332204032/CSwEegyo_normal.jpg,https://pbs.twimg.com/profile_images/1007463924332204032/CSwEegyo_normal.jpg
297,Paulaah_k,209720965,643,495,200,190,23383.74,1098572744.83,33144.72,200,0.18,0.235,0.155,0.085,0.085,0.155,0.105,28.57,104.53,10.22,8,1.14,http://pbs.twimg.com/profile_images/986001546734440449/ALBao3ws_normal.jpg,https://pbs.twimg.com/profile_images/986001546734440449/ALBao3ws_normal.jpg
298,DiasAmanda4,2970214228,415,693,200,181,14106.13,647297205.77,25442.04,200,0.14,0.175,0.125,0.18,0.19,0.095,0.095,28.57,54.53,7.38,0,0.00,http://pbs.twimg.com/profile_images/1004156959153639424/Bnabf7Xk_normal.jpg,https://pbs.twimg.com/profile_images/1004156959153639424/Bnabf7Xk_normal.jpg
299,Vinicius99152,902288165305806848,47,61,200,185,45474.14,2144290180.73,46306.48,200,0.17,0.115,0.16,0.15,0.21,0.105,0.09,28.57,60.53,7.78,1,1.00,http://pbs.twimg.com/profile_images/989964894073184256/lcUrjKdK_normal.jpg,https://pbs.twimg.com/profile_images/989964894073184256/lcUrjKdK_normal.jpg
300,sisdias_,971156120172679168,142,206,200,176,38.40,915.63,30.26,200,0.07,0.135,0.07,0.155,0.05,0.405,0.115,28.57,508.24,22.54,8,1.14,http://pbs.twimg.com/profile_images/971157323690409984/ijcqlC5U_normal.jpg,https://pbs.twimg.com/profile_images/971157323690409984/ijcqlC5U_normal.jpg
301,mathsdavi,237064789,859,195,200,180,28027.96,1354516945.04,36803.76,200,0.19,0.14,0.165,0.16,0.175,0.09,0.08,28.57,61.67,7.85,8,1.00,http://pbs.twimg.com/profile_images/978824205604130816/LxbnMwng_normal.jpg,https://pbs.twimg.com/profile_images/978824205604130816/LxbnMwng_normal.jpg
302,Rafa_Dinizz_,752334643425411074,68,64,200,156,198.03,196208.18,442.95,200,0.12,0.205,0.145,0.125,0.11,0.215,0.08,28.57,85.39,9.24,0,0.00,http://pbs.twimg.com/profile_images/963230998522728448/E-EwEbtp_normal.jpg,https://pbs.twimg.com/profile_images/963230998522728448/E-EwEbtp_normal.jpg
303,graa__cielleee,1002658262167310337,72,279,200,160,57.44,6205.12,78.77,200,0.0,0.115,0.205,0.255,0.17,0.25,0.005,28.57,393.39,19.83,1,1.00,http://pbs.twimg.com/profile_images/1006030831872299008/tt7gVCbj_normal.jpg,https://pbs.twimg.com/profile_images/1006030831872299008/tt7gVCbj_normal.jpg
304,sohumcara,1913348768,41795,43351,200,170,1198.54,2868396.35,1693.63,200,0.075,0.17,0.18,0.19,0.16,0.14,0.085,28.57,71.96,8.48,15,1.00,http://pbs.twimg.com/profile_images/1004900711598084096/R4pyIEmb_normal.jpg,https://pbs.twimg.com/profile_images/1004900711598084096/R4pyIEmb_normal.jpg
305,Ilca52449346,863729766771372032,2840,3637,200,162,15.61,502.81,22.42,200,0.045,0.04,0.005,0.155,0.445,0.25,0.06,28.57,851.10,29.17,141,1.02,http://pbs.twimg.com/profile_images/1004382298718994432/Lb8gQNs9_normal.jpg,https://pbs.twimg.com/profile_images/1004382298718994432/Lb8gQNs9_normal.jpg
306,brucoosat,3296617074,49318,35790,200,169,20.48,566.59,23.80,200,0.0,0.0,0.0,0.12,0.525,0.03,0.325,28.57,1449.67,38.07,3,1.00,http://pbs.twimg.com/profile_images/1000968539619160064/fNqlHc-V_normal.jpg,https://pbs.twimg.com/profile_images/1000968539619160064/fNqlHc-V_normal.jpg
307,brenncan,882971922862149632,612,805,200,154,81.94,25268.71,158.96,200,0.06,0.055,0.195,0.165,0.085,0.28,0.16,28.57,229.96,15.16,2,1.00,http://pbs.twimg.com/profile_images/999058609374875649/R6Y_30oI_normal.jpg,https://pbs.twimg.com/profile_images/999058609374875649/R6Y_30oI_normal.jpg
308,mariaalvesz4,888176788983214080,52,251,200,158,90.82,14079.44,118.66,200,0.1,0.025,0.02,0.24,0.4,0.035,0.18,28.57,682.24,26.12,7,1.17,http://pbs.twimg.com/profile_images/1008026889053769729/qEpaUih7_normal.jpg,https://pbs.twimg.com/profile_images/1008026889053769729/qEpaUih7_normal.jpg
309,brenncan,882971922862149632,612,805,200,154,81.94,25268.71,158.96,200,0.06,0.055,0.195,0.165,0.085,0.28,0.16,28.57,229.96,15.16,2,1.00,http://pbs.twimg.com/profile_images/999058609374875649/R6Y_30oI_normal.jpg,https://pbs.twimg.com/profile_images/999058609374875649/R6Y_30oI_normal.jpg
310,kamikazebr1,3617677393,1285,1481,200,173,7672.56,220188961.36,14838.77,200,0.11,0.23,0.195,0.08,0.125,0.14,0.12,28.57,92.53,9.62,45,1.96,http://pbs.twimg.com/profile_images/1006877034096754689/uznTQG4J_normal.jpg,https://pbs.twimg.com/profile_images/1006877034096754689/uznTQG4J_normal.jpg
311,RobertoBarrosx,269961698,8937,5850,200,163,114.04,46229.67,215.01,200,0.105,0.025,0.495,0.045,0.025,0.275,0.03,28.57,1102.82,33.21,152,1.01,http://pbs.twimg.com/profile_images/1007523544169943042/5DxXhssc_normal.jpg,https://pbs.twimg.com/profile_images/1007523544169943042/5DxXhssc_normal.jpg
312,souhawk,767880382071050240,788,3054,200,170,68.84,6761.88,82.23,200,0.02,0.08,0.06,0.23,0.085,0.04,0.485,28.57,939.96,30.66,21,1.91,http://pbs.twimg.com/profile_images/1008225280249466880/Lp01mJAf_normal.jpg,https://pbs.twimg.com/profile_images/1008225280249466880/Lp01mJAf_normal.jpg
313,badgalmod,944700110684016640,7206,5236,200,164,585.91,605674.55,778.25,200,0.025,0.035,0.18,0.15,0.24,0.14,0.23,28.57,251.39,15.86,5,1.00,http://pbs.twimg.com/profile_images/1007474367780085760/p44u8IS8_normal.jpg,https://pbs.twimg.com/profile_images/1007474367780085760/p44u8IS8_normal.jpg
314,deiaharmonizer,774342075978506240,3197,3181,200,159,14.62,528.52,22.99,200,0.015,0.02,0.0,0.0,0.3,0.565,0.1,28.57,1582.82,39.78,173,1.00,http://pbs.twimg.com/profile_images/774344087768035328/vtbWvtWJ_normal.jpg,https://pbs.twimg.com/profile_images/774344087768035328/vtbWvtWJ_normal.jpg
315,moonguk_,4633124050,3336,1247,200,163,21.67,938.48,30.63,200,0.03,0.225,0.065,0.085,0.17,0.32,0.105,28.57,356.82,18.89,292,2.35,http://pbs.twimg.com/profile_images/1008171512178905088/ZVWTIsin_normal.jpg,https://pbs.twimg.com/profile_images/1008171512178905088/ZVWTIsin_normal.jpg
316,kanalhaFP,4523444375,413,473,200,156,62.34,6637.57,81.47,200,0.015,0.09,0.085,0.14,0.25,0.11,0.31,28.57,359.96,18.97,17,1.21,http://pbs.twimg.com/profile_images/1007444521402200064/6Bz8CSSL_normal.jpg,https://pbs.twimg.com/profile_images/1007444521402200064/6Bz8CSSL_normal.jpg
317,cabellojadesy,336194853,13410,12236,200,168,244.17,94512.52,307.43,200,0.0,0.0,0.0,0.43,0.275,0.225,0.07,28.57,989.67,31.46,28,1.17,http://pbs.twimg.com/profile_images/1006229968702070790/CzXghsqZ_normal.jpg,https://pbs.twimg.com/profile_images/1006229968702070790/CzXghsqZ_normal.jpg
318,wendelalvim0202,777227011546832896,490,624,200,165,1894.67,14261490.29,3776.44,200,0.13,0.115,0.085,0.12,0.16,0.155,0.235,28.57,78.53,8.86,2,1.00,http://pbs.twimg.com/profile_images/1006288761376952320/uIfC2Xbb_normal.jpg,https://pbs.twimg.com/profile_images/1006288761376952320/uIfC2Xbb_normal.jpg
319,kehvader,3122638876,2669,2329,200,172,855.16,1898949.57,1378.02,200,0.09,0.13,0.09,0.06,0.145,0.11,0.375,28.57,386.24,19.65,2,2.00,http://pbs.twimg.com/profile_images/1007425476170801152/WOplNhQi_normal.jpg,https://pbs.twimg.com/profile_images/1007425476170801152/WOplNhQi_normal.jpg
320,ops_larys,2989738840,86256,76773,200,186,24589.10,1499217257.94,38719.73,200,0.145,0.155,0.12,0.12,0.13,0.19,0.14,28.57,20.53,4.53,8,1.00,http://pbs.twimg.com/profile_images/966382305450315777/xpel2YoE_normal.jpg,https://pbs.twimg.com/profile_images/966382305450315777/xpel2YoE_normal.jpg
321,dsilvaluiz1,898309706753736704,1096,1186,200,174,5596.78,63337635.89,7958.49,200,0.115,0.085,0.08,0.245,0.12,0.21,0.145,28.57,134.53,11.60,10,1.00,http://pbs.twimg.com/profile_images/946393906639491073/eSFDmleP_normal.jpg,https://pbs.twimg.com/profile_images/946393906639491073/eSFDmleP_normal.jpg
322,Godoy017,971449859281752065,675,510,200,173,1481.99,4097504.65,2024.23,200,0.065,0.115,0.145,0.165,0.23,0.245,0.035,28.57,211.39,14.54,1,1.00,http://pbs.twimg.com/profile_images/992461809440514050/ZpghuPy7_normal.jpg,https://pbs.twimg.com/profile_images/992461809440514050/ZpghuPy7_normal.jpg
323,vemmechamardebb,897233463857774596,27359,25568,200,168,3485.51,27270400.17,5222.11,200,0.13,0.095,0.18,0.085,0.06,0.26,0.19,28.57,171.39,13.09,12,1.09,http://pbs.twimg.com/profile_images/1008040302647697409/6G1ByS-M_normal.jpg,https://pbs.twimg.com/profile_images/1008040302647697409/6G1ByS-M_normal.jpg
