,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
296,Dessinha_2Bjs,998694481775005696,315,312,200,164,23.16,684.14,26.16,200,0.11,0.0,0.0,0.0,0.0,0.445,0.445,28.57,1515.96,38.94,4,1.00,http://pbs.twimg.com/profile_images/1002988064451584005/xDKbW7wo_normal.jpg,https://pbs.twimg.com/profile_images/1002988064451584005/xDKbW7wo_normal.jpg
297,PeixoutoGustavo,3539015655,352,615,200,181,14058.70,594362787.52,24379.56,200,0.14,0.125,0.225,0.135,0.16,0.165,0.05,28.57,94.53,9.72,6,1.20,http://pbs.twimg.com/profile_images/961055678029815816/fNQO9Er5_normal.jpg,https://pbs.twimg.com/profile_images/961055678029815816/fNQO9Er5_normal.jpg
298,yasminArcidile,897475028786319361,268,864,200,176,31525.24,2828057062.37,53179.48,200,0.095,0.175,0.225,0.12,0.16,0.07,0.155,28.57,93.39,9.66,8,1.00,http://pbs.twimg.com/profile_images/969305731139887105/cEb70PMi_normal.jpg,https://pbs.twimg.com/profile_images/969305731139887105/cEb70PMi_normal.jpg
299,Joaomsan,901181222369546242,467,454,200,169,2845.01,19996292.01,4471.72,200,0.16,0.075,0.145,0.225,0.145,0.095,0.155,28.57,80.53,8.97,7,1.17,http://pbs.twimg.com/profile_images/1008196425740582912/ssTkMiMs_normal.jpg,https://pbs.twimg.com/profile_images/1008196425740582912/ssTkMiMs_normal.jpg
300,Matheus2_Haas,1056417632,563,389,200,185,9400.77,159658816.49,12635.62,200,0.105,0.1,0.125,0.14,0.165,0.155,0.21,28.57,49.96,7.07,2,2.00,http://pbs.twimg.com/profile_images/991312906896723968/CkRVuLhe_normal.jpg,https://pbs.twimg.com/profile_images/991312906896723968/CkRVuLhe_normal.jpg
301,guimartins_m,4675650836,680,587,200,188,15828.40,463522614.06,21529.58,200,0.095,0.175,0.105,0.125,0.305,0.115,0.08,28.57,206.24,14.36,0,0.00,http://pbs.twimg.com/profile_images/996474925287436288/K-t89n7a_normal.jpg,https://pbs.twimg.com/profile_images/996474925287436288/K-t89n7a_normal.jpg
302,Nenemaltmayerr,304298141,725,581,200,172,5382.42,74137693.79,8610.32,200,0.2,0.14,0.045,0.065,0.28,0.14,0.13,28.57,216.53,14.71,0,0.00,http://pbs.twimg.com/profile_images/990900185067909120/_1bjcRWT_normal.jpg,https://pbs.twimg.com/profile_images/990900185067909120/_1bjcRWT_normal.jpg
303,noiado666,1519256048,810,530,200,174,681.16,1014972.49,1007.46,200,0.315,0.12,0.075,0.03,0.12,0.185,0.155,28.57,285.39,16.89,6,1.20,http://pbs.twimg.com/profile_images/1007441755321651200/2D9-B1pZ_normal.jpg,https://pbs.twimg.com/profile_images/1007441755321651200/2D9-B1pZ_normal.jpg
304,mctaverson,2924216163,1106,398,200,176,554.98,344896.53,587.28,200,0.165,0.0,0.0,0.045,0.295,0.175,0.32,28.57,608.24,24.66,6,3.00,http://pbs.twimg.com/profile_images/1008419565662015488/mfdUkxE1_normal.jpg,https://pbs.twimg.com/profile_images/1008419565662015488/mfdUkxE1_normal.jpg
305,mariaafrv,702847921851645953,436,225,200,179,10792.03,201565701.17,14197.38,200,0.225,0.195,0.19,0.125,0.12,0.07,0.075,28.57,128.24,11.32,7,3.50,http://pbs.twimg.com/profile_images/988936335619690496/25jJOiwy_normal.jpg,https://pbs.twimg.com/profile_images/988936335619690496/25jJOiwy_normal.jpg
