,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
291,Seelton_,770603114,1204,705,200,178,9670.04,211048646.49,14527.51,200,0.115,0.11,0.11,0.18,0.24,0.055,0.19,28.57,135.39,11.64,6,1.20,http://pbs.twimg.com/profile_images/1006031540588044289/YKF2KJSl_normal.jpg,https://pbs.twimg.com/profile_images/1006031540588044289/YKF2KJSl_normal.jpg
292,emerson_bertin,501282669,2064,4168,200,181,71758.01,11127096236.37,105485.05,200,0.05,0.075,0.185,0.31,0.04,0.195,0.145,28.57,321.39,17.93,15,1.88,http://pbs.twimg.com/profile_images/868093473043468288/xzcCnyN6_normal.jpg,https://pbs.twimg.com/profile_images/868093473043468288/xzcCnyN6_normal.jpg
293,drogavc,539260808,17717,7561,200,177,6550.23,124688281.30,11166.39,200,0.09,0.18,0.11,0.135,0.085,0.155,0.245,28.57,109.96,10.49,1,1.00,http://pbs.twimg.com/profile_images/1001277220801966081/L4cUfW17_normal.jpg,https://pbs.twimg.com/profile_images/1001277220801966081/L4cUfW17_normal.jpg
294,francimcr,67697735,1459,1756,200,161,9304.29,483866524.24,21996.97,200,0.08,0.21,0.175,0.115,0.215,0.15,0.055,28.57,132.82,11.52,15,1.00,http://pbs.twimg.com/profile_images/1003473278651060225/X7j9xIwM_normal.jpg,https://pbs.twimg.com/profile_images/1003473278651060225/X7j9xIwM_normal.jpg
295,marcusyazbek,109554263,216289,222563,200,171,1552.94,5650151.15,2377.00,200,0.16,0.145,0.075,0.12,0.135,0.04,0.325,28.57,281.39,16.77,1,1.00,http://pbs.twimg.com/profile_images/1004905502504087553/icUS1Dc0_normal.jpg,https://pbs.twimg.com/profile_images/1004905502504087553/icUS1Dc0_normal.jpg
296,VValker_,737762480936648704,310,173,200,175,85216.69,12059393284.94,109815.27,200,0.185,0.185,0.175,0.115,0.11,0.11,0.12,28.57,45.96,6.78,7,1.00,http://pbs.twimg.com/profile_images/1001980924161089538/QigCehRj_normal.jpg,https://pbs.twimg.com/profile_images/1001980924161089538/QigCehRj_normal.jpg
297,mpblizando__,3206570439,10840,6604,200,173,8255.27,191508157.75,13838.65,200,0.14,0.195,0.2,0.11,0.135,0.095,0.125,28.57,55.67,7.46,2,1.00,http://pbs.twimg.com/profile_images/989012751933673472/8LRJXkyO_normal.jpg,https://pbs.twimg.com/profile_images/989012751933673472/8LRJXkyO_normal.jpg
298,JeanZirr,861997282073432065,126,135,200,173,10347.03,360070827.27,18975.53,200,0.135,0.07,0.15,0.12,0.12,0.19,0.215,28.57,79.39,8.91,0,0.00,http://pbs.twimg.com/profile_images/953276077048238081/kxjmkJQm_normal.jpg,https://pbs.twimg.com/profile_images/953276077048238081/kxjmkJQm_normal.jpg
299,lj_kranz,938216205151821829,266,236,200,162,1078.49,4190399.77,2047.05,200,0.115,0.31,0.195,0.175,0.105,0.045,0.055,28.57,292.53,17.10,1,1.00,http://pbs.twimg.com/profile_images/983470305476775936/CrHaiBh-_normal.jpg,https://pbs.twimg.com/profile_images/983470305476775936/CrHaiBh-_normal.jpg
300,kevinkletke345,822202207932207104,309,501,200,168,2759.45,26340690.41,5132.32,200,0.1,0.31,0.045,0.075,0.13,0.215,0.125,28.57,283.67,16.84,0,0.00,http://pbs.twimg.com/profile_images/1006145448854376448/2hpXlgNE_normal.jpg,https://pbs.twimg.com/profile_images/1006145448854376448/2hpXlgNE_normal.jpg
